customer_id,name,email,phone
1,,glandry@example.net,001-521-887-3107
2,Brian Olson,cervantesjasmine@example.com,+1-376-531-2115x39129
3,Joseph Johnson,velazquezjonathan@example.com,+1-203-733-2171
4,William Ortiz,amythomas@example.net,+1-435-623-6439x3469
5,Christopher Butler,haleyrodriguez@example.net,731.426.5783
6,Christopher Kirk,brian27@example.com,316-885-6206x871
7,Jose Robinson,allenbecky@example.com,7923069781
8,Jennifer Nicholson,taylorcrystal@example.com,
9,Tiffany Butler,ljones@example.net,663-234-3690
10,Sara Wilson,douglaswilliams@example.net,
11,James Robinson,tlandry@example.net,5027593586
12,Brandon Cole,lauren75@example.com,322-437-8714x105
13,Jason Simmons,wharmon@example.com,(352)940-2718
14,Barbara Williams,lgarcia@example.com,001-815-955-1183
15,Jeremiah May,timothysilva@example.com,859-457-5460x43838
16,Lori Strickland,bad-email,001-952-859-3789
17,Janice Young,larry26@example.org,518.449.0385
18,Karen Smith,richard42@example.com,392-829-8000
19,Brenda Adams,gonzalezmatthew@example.com,+1-931-625-2129x437
20,Michael Medina,pvalentine@example.org,(853)557-0082x477
21,Dr. Cameron Wilson,christopher47@example.net,(624)731-0971
22,Erin Mendoza,luisday@example.org,983-990-8821x905
23,John Nelson,pparker@example.com,212-348-5490x0511
24,Jason Goodwin,wrightvickie@example.com,428.722.1656x1439
25,Joseph Miller,michaelclark@example.com,
26,Kelly Wilson,peggyrodriguez@example.com,001-982-362-9122x3054
27,,sarah54@example.net,+1-627-775-6367x25958
28,Courtney Fleming,aaronrandall@example.net,6253279479
29,Chelsea Johnson,andrewsjoseph@example.org,001-763-540-2368x1984
30,Karen Williams,brandonmason@example.com,001-406-318-3343x2538
31,Cathy Lee,richardsonchristopher@example.net,3853479232
32,Karen Wilson,shawyolanda@example.com,212-661-8180x8844
33,Debra Harris,penny75@example.org,(830)203-9050x726
34,Cameron Ward,hwilliams@example.com,588-368-4681x3263
35,Brian Watkins,katiejimenez@example.org,+1-835-998-3503x320
36,Samantha Estrada,schroederashley@example.com,892.851.0022x4854
37,William Rodriguez,russelljon@example.net,+1-900-507-1421x60384
38,Mr. John Baker,sethhernandez@example.net,(501)575-0748x29496
39,Tonya Martinez,eric72@example.net,(856)749-4128
40,Amy Jordan,mary48@example.net,+1-951-560-4796x43211
41,David Turner,griffinaaron@example.net,
42,Elizabeth Little,wthomas@example.net,7188284804
43,Mary Rivera,larry67@example.org,720.994.6402
44,Marco Moon,kingheather@example.net,001-425-646-1303
45,Catherine Allen,hamiltonwilliam@example.com,+1-543-978-6101
46,Bryce Lopez,carl53@example.com,591-421-8752x456
47,Judy Miller,latoya17@example.org,
48,Nicole Moore,kelly31@example.net,+1-770-901-3810x592
49,Shannon Paul,eatonaaron@example.com,001-554-430-4851x5441
50,Tara Curtis,cbyrd@example.com,2257681750
51,Karen Long,hardinphilip@example.net,+1-534-758-4522x40590
52,Marie Townsend,tmartin@example.net,5873644153
53,Joshua Rose,shane42@example.net,2316807846
54,Leroy Merritt,wpark@example.org,653-702-3525
55,Melissa Shepherd,karen54@example.org,850-869-9931
56,Bradley Marks,gregoryallen@example.net,666-208-4177
57,Jason Robertson,victoriascott@example.com,+1-955-222-7802x906
58,Gregory Rivers,deanna91@example.net,247-631-7711
59,Virginia Davis,mcconnellscott@example.com,
60,Joshua Kaiser,umclaughlin@example.org,788-593-9050x8818
61,Kyle Yang,marysantos@example.org,873-998-9052x480
62,Natalie Gonzalez,lowejustin@example.net,+1-882-953-4313x08561
63,Anne Jones,galexander@example.org,+1-751-377-7483x502
64,Victor Dixon,stanleycharles@example.net,831.777.7821x4273
65,Jennifer Vaughan,lnorman@example.com,(350)480-8456
66,Lauren Jackson,bad-email,+1-331-441-6778
67,David Johnson,pamelabriggs@example.org,001-938-298-3846x35707
68,Betty Charles,mmckenzie@example.org,(659)401-4206x765
69,Daniel Martinez,hernandezcarrie@example.com,001-802-773-1562x2385
